Date	x	pourc	y
2020-12-31T12:00:00.000+0000	1609416000000	0.006	47:86:38
2020-12-30T12:00:00.000+0000	1609329600000	0.002	47:86:38
2020-12-29T12:00:00.000+0000	1609243200000	0.022	47:86:38
2020-12-28T12:00:00.000+0000	1609156800000	0.039	47:86:38
2020-12-27T12:00:00.000+0000	1609070400000	0.051	47:86:38
2020-12-26T12:00:00.000+0000	1608984000000	0.061	47:86:38
2020-12-25T12:00:00.000+0000	1608897600000	0.068	47:86:38
2020-12-24T12:00:00.000+0000	1608811200000	0.071	47:86:38
2020-12-23T12:00:00.000+0000	1608724800000	0.075	47:86:38
2020-12-22T12:00:00.000+0000	1608638400000	0.075	47:86:38
2020-12-21T12:00:00.000+0000	1608552000000	0.066	47:86:38
2020-12-20T12:00:00.000+0000	1608465600000	0.167	47:86:38
2020-12-19T12:00:00.000+0000	1608379200000	0.243	47:86:38
2020-12-18T12:00:00.000+0000	1608292800000	0.296	47:86:38
2020-12-17T12:00:00.000+0000	1608206400000	0.328	47:86:38
2020-12-16T12:00:00.000+0000	1608120000000	0.341	47:86:38
2020-12-15T12:00:00.000+0000	1608033600000	0.355	47:86:38
2020-12-14T12:00:00.000+0000	1607947200000	0.336	47:86:38
2020-12-13T12:00:00.000+0000	1607860800000	0.3	47:86:38
2020-12-12T12:00:00.000+0000	1607774400000	0.252	47:86:38
2020-12-11T12:00:00.000+0000	1607688000000	0.197	47:86:38
2020-12-10T12:00:00.000+0000	1607601600000	0.141	47:86:38
2020-12-09T12:00:00.000+0000	1607515200000	0.113	47:86:38
2020-12-08T12:00:00.000+0000	1607428800000	0.06	47:86:38
2020-12-07T12:00:00.000+0000	1607342400000	0.155	47:86:38
2020-12-06T12:00:00.000+0000	1607256000000	0.693	47:86:38
2020-12-05T12:00:00.000+0000	1607169600000	1.031	47:86:38
2020-12-04T12:00:00.000+0000	1607083200000	1.417	47:86:38
2020-12-03T12:00:00.000+0000	1606996800000	1.71	47:86:38
2020-12-02T12:00:00.000+0000	1606910400000	1.809	47:86:38
2020-12-01T12:00:00.000+0000	1606824000000	2.117	47:86:38
2020-11-30T12:00:00.000+0000	1606737600000	2.171	47:86:38
2020-11-29T12:00:00.000+0000	1606651200000	2.496	47:86:38
2020-11-28T12:00:00.000+0000	1606564800000	2.606	47:86:38
2020-11-27T12:00:00.000+0000	1606478400000	2.664	47:86:38
2020-11-26T12:00:00.000+0000	1606392000000	2.905	47:86:38
2020-11-25T12:00:00.000+0000	1606305600000	3.477	47:86:38
2020-11-24T12:00:00.000+0000	1606219200000	3.757	47:86:38
2020-11-23T12:00:00.000+0000	1606132800000	4.152	47:86:38
2020-11-22T12:00:00.000+0000	1606046400000	4.826	47:86:38
2020-11-21T12:00:00.000+0000	1605960000000	4.939	47:86:38
2020-11-20T12:00:00.000+0000	1605873600000	4.978	47:86:38
